study_id,experiment_group,base_experiment_id,architecture,window_size,stride,hidden,latent_dim,beta,scaling,threshold_method,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,n_seeds,seeds,threshold_value_mean,threshold_value_std
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,train_p99,test,0.8394736842105263,0.0,0.3368532206969377,0.0,0.48078372268274294,0.0,0.9951256186610863,0.0,0.8613219399910348,0.0,0.968617626964245,0.0,0.6669747824733736,0.0,1,42,64.13520812988281,
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,train_p99,val,0.8037974683544303,0.0,0.5358649789029536,0.0,0.6430379746835443,0.0,0.997406340866818,0.0,0.6898076107492991,0.0,0.9933725029377203,0.0,0.7671957274018524,0.0,1,42,64.13520812988281,
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,train_p995,test,0.7319148936170212,0.0,0.0908130939809926,0.0,0.16157820573038986,0.0,0.9951256186610863,0.0,0.8613219399910348,0.0,0.9593486677294466,0.0,0.54465683259598,0.0,1,42,70.09945583343506,
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,train_p995,val,0.0,0.0,0.0,0.0,0.0,0.0,0.997406340866818,0.0,0.6898076107492991,0.0,0.9882491186839013,0.0,0.4996910352695123,0.0,1,42,70.09945583343506,
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,val_f1,test,0.8689458689458689,0.0,0.48310454065469904,0.0,0.6209704784526637,0.0,0.9951256186610863,0.0,0.8613219399910348,0.0,0.9745616032794352,0.0,0.7399100387965041,0.0,1,42,62.444493637084925,
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,val_f1,val,0.8403755868544601,0.0,0.7552742616033755,0.0,0.7955555555555556,0.0,0.997406340866818,0.0,0.6898076107492991,0.0,0.9956756756756757,0.0,0.8768290691988738,0.0,1,42,62.444493637084925,
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64,dense,60,10,"[128, 64]",16,1.0,none,train_p98,test,0.7514626911349692,0.03853218641600736,0.4109468497008096,0.10188067566697061,0.5283706813839822,0.09257199180504605,0.9941842439869037,0.00011056428501352703,0.7367642659043571,0.005413733580343533,0.9688833219464055,0.004272167316574521,0.7024904342436518,0.050876199468914744,3,"7,42,123",12.028499762217203,0.3704354801347793
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64,dense,60,10,"[128, 64]",16,1.0,none,train_p98,val,0.5161007400723152,0.037123529461896204,0.5527426160337553,0.09732120333055523,0.5317242980007367,0.055566935127529554,0.9926028301343132,0.0005508571432105232,0.4178657926591502,0.02249278603186173,0.9892518605562084,0.0008359935180229399,0.7734559485086862,0.04835273564587045,3,"7,42,123",12.028499762217203,0.3704354801347793
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64,dense,60,10,"[128, 64]",16,1.0,none,train_p99,test,0.5260434458056976,0.03637011731128056,0.12865188313973955,0.020728520752320248,0.20656285744621813,0.029420094969890693,0.9941842439869037,0.00011056428501352703,0.7367642659043571,0.005413733580343533,0.9574584377135049,0.000851815268014816,0.5617356585031015,0.010340297160961558,3,"7,42,123",12.371811548868815,0.39330094504493446
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64,dense,60,10,"[128, 64]",16,1.0,none,train_p99,val,0.07090482405581437,0.0373157521794147,0.029535864978902954,0.012658227848101264,0.04162677373661883,0.01897993725789193,0.9926028301343132,0.0005508571432105232,0.4178657926591502,0.02249278603186173,0.9847238542890716,0.0007387183852174954,0.5125101133051184,0.006604000698740667,3,"7,42,123",12.371811548868815,0.39330094504493446
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64,dense,60,10,"[128, 64]",16,1.0,none,train_p995,test,0.49718419591860274,0.021000171543521393,0.0879971840901091,0.0010990844770148577,0.14949857345469766,0.0014225998670461739,0.9941842439869037,0.00011056428501352703,0.7367642659043571,0.005413733580343533,0.9568131784711151,0.0003158376081790484,0.5419874534311931,0.0004728872190328507,3,"7,42,123",12.987764040629068,0.36158197505458206
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64,dense,60,10,"[128, 64]",16,1.0,none,train_p995,val,0.004975124378109453,0.008617168196860087,0.0014064697609001405,0.0024360770851882944,0.0021929824561403508,0.0037983570341422745,0.9926028301343132,0.0005508571432105232,0.4178657926591502,0.02249278603186173,0.9859302781041911,0.00043673669768169515,0.4992138664360479,0.0011691634388059906,3,"7,42,123",12.987764040629068,0.36158197505458206
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64,dense,60,10,"[128, 64]",16,1.0,none,val_f1,test,0.8464172899066237,0.003539376616862603,0.779831045406547,0.005879371027275649,0.8117561661317184,0.004373164361136697,0.9941842439869037,0.00011056428501352703,0.7367642659043571,0.005413733580343533,0.9843999089045775,0.0003354798420099536,0.8867262614694579,0.0029693295791864112,3,"7,42,123",11.782247399564964,0.327427804241061
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64,dense,60,10,"[128, 64]",16,1.0,none,val_f1,val,0.5019700551615445,0.015198819166261542,0.8959212376933895,0.02712700636003648,0.6434343434343434,0.01948212274948073,0.9926028301343132,0.0005508571432105232,0.4178657926591502,0.02249278603186173,0.9889385037211125,0.0006043807762471258,0.9429538057782789,0.013716300511212528,3,"7,42,123",11.782247399564964,0.327427804241061
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,train_p98,test,0.7978413067304503,0.04386589391596229,0.6448433650123196,0.27657967120802307,0.6890778198783561,0.184989506192621,0.9932539946231241,0.0017290211523421416,0.7560495209266883,0.05538881023103064,0.9775373870796326,0.008667668811840312,0.8186889775048906,0.1364502529734163,3,"7,42,123",24.544108390808105,13.190782205145494
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,train_p98,val,0.5126851959909241,0.24933425960319305,0.7721518987341772,0.09137724821817605,0.586224542075373,0.15016852186724625,0.9926065070920492,0.004258734722998188,0.4645707114239512,0.1676378297703974,0.9862749706227967,0.008308197189090335,0.880419518147391,0.041775739547165146,3,"7,42,123",24.544108390808105,13.190782205145494
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,train_p99,test,0.6838757485356967,0.0502786979341428,0.26117564237944385,0.1565203516454098,0.3611246497946077,0.18080192074057758,0.9932539946231241,0.0017290211523421416,0.7560495209266883,0.05538881023103064,0.9632354057541942,0.004171803199169142,0.6280292720655787,0.07688279743023956,3,"7,42,123",26.369905948638916,15.026817471298747
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,train_p99,val,0.24886006687607662,0.2183684220110062,0.18846694796061883,0.18374223448398672,0.21222222222222223,0.1960819934316972,0.9926065070920492,0.004258734722998188,0.4645707114239512,0.1676378297703974,0.9870426948687818,0.0003058240704416936,0.5922529308361576,0.090747104674253,3,"7,42,123",26.369905948638916,15.026817471298747
