model,run_id,threshold_method,split,accuracy,balanced_accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc,pr_auc,threshold,positive_rate_pred,positive_rate_true,threshold_scope,is_primary,report_note
VAE,20260424_140621,train_p98,test,0.9819403324982919,0.9726646348230794,0.7163064833005894,0.9625131995776135,0.8213561612975895,1823,41294,722,71,0.9884227489944998,0.7618786178609601,13345.08203125,0.05795946253700752,0.04313368253245274,train-only,True,Primary fair unsupervised comparison.
VAE,20260424_140621,val_f1,test,0.9820997494875883,0.8910703475158255,0.7931216931216931,0.7914466737064414,0.7922832980972516,1499,41625,391,395,0.9884227489944998,0.7618786178609601,13617.649776323022,0.04304258710999772,0.04313368253245274,validation-label diagnostic,False,Diagnostic only; threshold selected with validation labels.
Isolation Forest,20260426_200420,train_p98,test,0.9560920063766796,0.9740312635966708,0.4955239599789363,0.9936642027455121,0.6612789880534082,1882,40100,1916,12,0.9963776935984964,0.835817623831763,0.14254700931485753,0.08649510362104304,0.04313368253245274,train-only,True,Primary fair unsupervised comparison.
Isolation Forest,20260426_200420,val_f1,test,0.98975176497381,0.973217134660221,0.8321067157313707,0.9551214361140443,0.8893805309734513,1809,41651,365,85,0.9963776935984964,0.835817623831763,0.1617873985213778,0.04951036210430426,0.04313368253245274,validation-label diagnostic,False,Diagnostic only; threshold selected with validation labels.
