study_id,experiment_group,base_experiment_id,architecture,window_size,stride,hidden,latent_dim,beta,scaling,threshold_method,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,n_seeds,seeds,threshold_value_mean,threshold_value_std
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,lstm_autoencoder,60,10,"[128, 64]",16,1.0,none,train_p98,test,0.902834008097166,0.0,0.941921858500528,0.0,0.9219638242894056,0.0,0.9951256186610863,0.0,0.8613219399910348,0.0,0.9931222956046458,0.0,0.9686760853812617,0.0,1,42,58.62646293640137,
20260430_074356_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,dense,60,10,"[128, 64, 32]",16,1.0,none,train_p98,test,0.7978413067304503,0.04386589391596229,0.6448433650123196,0.27657967120802307,0.6890778198783561,0.184989506192621,0.9932539946231241,0.0017290211523421416,0.7560495209266883,0.05538881023103064,0.9775373870796326,0.008667668811840312,0.8186889775048906,0.1364502529734163,3,"7,42,123",24.544108390808105,13.190782205145494
20260430_074356_wrapup_layers_windows_noscale_beta1,windows,win120,dense,120,20,"[128, 64]",16,1.0,none,train_p98,test,0.8899287085476474,0.011915308215656634,0.9767932489451477,0.0010548523206751204,0.9313080959142773,0.006152896669783157,0.997119897596359,0.00043095256691563625,0.8932050429260352,0.013092836429960576,0.9937742954324587,0.0006066261040888795,0.9856669856736149,0.0003006223062958712,3,"7,42,123",167.87625223795575,10.901118994316763
