study_id,experiment_group,experiment_id,run_id,run_dir,window_size,stride,hidden,latent_dim,beta,seed,scaling,threshold_method,threshold_value,split,precision,recall,f1,roc_auc,pr_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_train_windows,n_val_windows,n_test_windows,n_val_positive,n_test_positive,train_score_mean,train_score_std,train_score_p98,test_score_mean_normal,test_score_mean_anomaly
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,20260426_232627,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32/20260426_232627,60,10,"[128, 64, 32]",16,1.0,42,none,train_p99,29.113412857055664,val,0.6,0.3037974683544304,0.40336134453781514,0.996564183837725,0.6061067515692644,0.9899882491186839,0.6507579413261837,20990,48,165,72,63526,21275,43910,237,1894,4.1815619468688965,5.521012306213379,25.946849822998047,6.776111125946045,29.440275192260742
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,20260426_232627,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32/20260426_232627,60,10,"[128, 64, 32]",16,1.0,42,none,train_p99,29.113412857055664,test,0.7967625899280576,0.23389651531151004,0.36163265306122444,0.9964736368344819,0.8589360199700664,0.9643816898200865,0.6156035318370193,41903,113,1451,443,63526,21275,43910,237,1894,4.1815619468688965,5.521012306213379,25.946849822998047,6.776111125946045,29.440275192260742
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,20260426_232627,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32/20260426_232627,60,10,"[128, 64, 32]",16,1.0,42,none,train_p995,33.02686309814453,val,0.0,0.0,0.0,0.996564183837725,0.6061067515692644,0.9878260869565217,0.4994771366099439,21016,22,237,0,63526,21275,43910,237,1894,4.1815619468688965,5.521012306213379,25.946849822998047,6.776111125946045,29.440275192260742
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,20260426_232627,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32/20260426_232627,60,10,"[128, 64, 32]",16,1.0,42,none,train_p995,33.02686309814453,test,0.7227272727272728,0.0839493136219641,0.15042573320719016,0.9964736368344819,0.8589360199700664,0.9590981553176953,0.5412487428734344,41955,61,1735,159,63526,21275,43910,237,1894,4.1815619468688965,5.521012306213379,25.946849822998047,6.776111125946045,29.440275192260742
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,20260426_232627,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32/20260426_232627,60,10,"[128, 64, 32]",16,1.0,42,none,val_f1,26.227309772548963,val,0.6792452830188679,0.9113924050632911,0.7783783783783783,0.996564183837725,0.6061067515692644,0.9942185663924794,0.9532720177232037,20936,102,21,216,63526,21275,43910,237,1894,4.1815619468688965,5.521012306213379,25.946849822998047,6.776111125946045,29.440275192260742
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_128_64_32,20260426_232627,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_128_64_32/20260426_232627,60,10,"[128, 64, 32]",16,1.0,42,none,val_f1,26.227309772548963,test,0.9007633587786259,0.8099260823653643,0.8529329997219905,0.9964736368344819,0.8589360199700664,0.9879526303803234,0.9029519025688209,41847,169,360,1534,63526,21275,43910,237,1894,4.1815619468688965,5.521012306213379,25.946849822998047,6.776111125946045,29.440275192260742
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,20260426_232040,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128/20260426_232040,60,10,"[256, 128]",16,1.0,42,none,train_p98,5.7717180252075195,val,0.0,0.0,0.0,0.41555525605063454,0.009141557618636604,0.9746180963572267,0.49279874512786387,20735,303,237,0,63526,21275,43910,237,1894,1.8782843351364136,1.9834649562835693,5.7717180252075195,2.844356060028076,1.9981732368469238
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,20260426_232040,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128/20260426_232040,60,10,"[256, 128]",16,1.0,42,none,train_p98,5.7717180252075195,test,0.1703225806451613,0.06969376979936642,0.09891345073061072,0.3228678635825162,0.04304890016854986,0.9452288772489182,0.5271950379842224,41373,643,1762,132,63526,21275,43910,237,1894,1.8782843351364136,1.9834649562835693,5.7717180252075195,2.844356060028076,1.9981732368469238
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,20260426_232040,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128/20260426_232040,60,10,"[256, 128]",16,1.0,42,none,train_p99,6.898462772369385,val,0.0,0.0,0.0,0.41555525605063454,0.009141557618636604,0.9789894242068156,0.49500903127673734,20828,210,237,0,63526,21275,43910,237,1894,1.8782843351364136,1.9834649562835693,5.7717180252075195,2.844356060028076,1.9981732368469238
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,20260426_232040,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128/20260426_232040,60,10,"[256, 128]",16,1.0,42,none,train_p99,6.898462772369385,test,0.21238938053097345,0.03801478352692714,0.06448723690103002,0.3228678635825162,0.04304890016854986,0.952425415622865,0.5158300307581323,41749,267,1822,72,63526,21275,43910,237,1894,1.8782843351364136,1.9834649562835693,5.7717180252075195,2.844356060028076,1.9981732368469238
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,20260426_232040,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128/20260426_232040,60,10,"[256, 128]",16,1.0,42,none,train_p995,8.746859550476074,val,0.0,0.0,0.0,0.41555525605063454,0.009141557618636604,0.9828907168037603,0.4969816522483126,20911,127,237,0,63526,21275,43910,237,1894,1.8782843351364136,1.9834649562835693,5.7717180252075195,2.844356060028076,1.9981732368469238
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,20260426_232040,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128/20260426_232040,60,10,"[256, 128]",16,1.0,42,none,train_p995,8.746859550476074,test,0.08994708994708994,0.00897571277719113,0.016322611617858855,0.3228678635825162,0.04304890016854986,0.9533363698474152,0.502441017089281,41844,172,1877,17,63526,21275,43910,237,1894,1.8782843351364136,1.9834649562835693,5.7717180252075195,2.844356060028076,1.9981732368469238
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,20260426_232040,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128/20260426_232040,60,10,"[256, 128]",16,1.0,42,none,val_f1,0.9377496188130211,val,0.015621686576659362,0.9324894514767933,0.030728587319243602,0.41555525605063454,0.009141557618636604,0.3446768507638073,0.6352721998328923,7112,13926,16,221,63526,21275,43910,237,1894,1.8782843351364136,1.9834649562835693,5.7717180252075195,2.844356060028076,1.9981732368469238
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128,20260426_232040,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128/20260426_232040,60,10,"[256, 128]",16,1.0,42,none,val_f1,0.9377496188130211,test,0.04655428854734755,0.9915522703273495,0.08893308708623385,0.3228678635825162,0.04304890016854986,0.12370758369391938,0.5380695471971858,3554,38462,16,1878,63526,21275,43910,237,1894,1.8782843351364136,1.9834649562835693,5.7717180252075195,2.844356060028076,1.9981732368469238
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,20260426_233343,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128_64/20260426_233343,60,10,"[256, 128, 64]",16,1.0,42,none,train_p98,5.81395959854126,val,0.0,0.0,0.0,0.17141134607539582,0.006627103982569208,0.9746180963572267,0.49279874512786387,20735,303,237,0,63526,21275,43910,237,1894,1.895474910736084,1.9477392435073853,5.81395959854126,2.808713436126709,1.287879228591919
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,20260426_233343,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128_64/20260426_233343,60,10,"[256, 128, 64]",16,1.0,42,none,train_p98,5.81395959854126,test,0.13855421686746988,0.036430834213305174,0.05769230769230769,0.13856009044877357,0.029911629197843792,0.9486677294465953,0.5131102190868506,41587,429,1825,69,63526,21275,43910,237,1894,1.895474910736084,1.9477392435073853,5.81395959854126,2.808713436126709,1.287879228591919
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,20260426_233343,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128_64/20260426_233343,60,10,"[256, 128, 64]",16,1.0,42,none,train_p99,6.893980503082275,val,0.0,0.0,0.0,0.17141134607539582,0.006627103982569208,0.9791774383078731,0.49510409734765665,20832,206,237,0,63526,21275,43910,237,1894,1.895474910736084,1.9477392435073853,5.81395959854126,2.808713436126709,1.287879228591919
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,20260426_233343,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128_64/20260426_233343,60,10,"[256, 128, 64]",16,1.0,42,none,train_p99,6.893980503082275,test,0.19938650306748465,0.034318901795142555,0.05855855855855856,0.13856009044877357,0.029911629197843792,0.9524026417672512,0.5140534912631463,41755,261,1829,65,63526,21275,43910,237,1894,1.895474910736084,1.9477392435073853,5.81395959854126,2.808713436126709,1.287879228591919
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,20260426_233343,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128_64/20260426_233343,60,10,"[256, 128, 64]",16,1.0,42,none,train_p995,8.62086296081543,val,0.0,0.0,0.0,0.17141134607539582,0.006627103982569208,0.9824206815511163,0.49674398707101436,20901,137,237,0,63526,21275,43910,237,1894,1.895474910736084,1.9477392435073853,5.81395959854126,2.808713436126709,1.287879228591919
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,20260426_233343,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128_64/20260426_233343,60,10,"[256, 128, 64]",16,1.0,42,none,train_p995,8.62086296081543,test,0.18442622950819673,0.02375923970432946,0.04209541627689429,0.13856009044877357,0.029911629197843792,0.9533591437030289,0.5095114743837718,41817,199,1849,45,63526,21275,43910,237,1894,1.895474910736084,1.9477392435073853,5.81395959854126,2.808713436126709,1.287879228591919
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,20260426_233343,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128_64/20260426_233343,60,10,"[256, 128, 64]",16,1.0,42,none,val_f1,0.39828391392326834,val,0.012254901960784314,0.9915611814345991,0.024210580538814197,0.17141134607539582,0.006627103982569208,0.10961222091656875,0.5456189783967368,2097,18941,2,235,63526,21275,43910,237,1894,1.895474910736084,1.9477392435073853,5.81395959854126,2.808713436126709,1.287879228591919
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_256_128_64,20260426_233343,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_256_128_64/20260426_233343,60,10,"[256, 128, 64]",16,1.0,42,none,val_f1,0.39828391392326834,test,0.0433935894792311,1.0,0.08317779583232691,0.13856009044877357,0.029911629197843792,0.04912320655887042,0.5031297600913938,263,41753,0,1894,63526,21275,43910,237,1894,1.895474910736084,1.9477392435073853,5.81395959854126,2.808713436126709,1.287879228591919
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,20260426_231018,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_64_32/20260426_231018,60,10,"[64, 32]",16,1.0,42,none,train_p98,16.49639892578125,val,0.0,0.0,0.0,0.7269529960453317,0.018713989367115002,0.9791304347826087,0.4950803308299268,20831,207,237,0,63526,21275,43910,237,1894,10.326876640319824,2.4583775997161865,16.49639892578125,10.377968788146973,11.069475173950195
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,20260426_231018,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_64_32/20260426_231018,60,10,"[64, 32]",16,1.0,42,none,train_p98,16.49639892578125,test,0.2509578544061303,0.06916578669482576,0.10844370860927152,0.5367709771748842,0.06891793010600056,0.9509451150079709,0.5299299040100176,41625,391,1763,131,63526,21275,43910,237,1894,10.326876640319824,2.4583775997161865,16.49639892578125,10.377968788146973,11.069475173950195
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,20260426_231018,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_64_32/20260426_231018,60,10,"[64, 32]",16,1.0,42,none,train_p99,17.54168701171875,val,0.0,0.0,0.0,0.7269529960453317,0.018713989367115002,0.9817156286721505,0.49638748930506704,20886,152,237,0,63526,21275,43910,237,1894,10.326876640319824,2.4583775997161865,16.49639892578125,10.377968788146973,11.069475173950195
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,20260426_231018,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_64_32/20260426_231018,60,10,"[64, 32]",16,1.0,42,none,train_p99,17.54168701171875,test,0.2942643391521197,0.06230200633579725,0.1028322440087146,0.5367709771748842,0.06891793010600056,0.9531086312912777,0.5277832385068171,41733,283,1776,118,63526,21275,43910,237,1894,10.326876640319824,2.4583775997161865,16.49639892578125,10.377968788146973,11.069475173950195
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,20260426_231018,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_64_32/20260426_231018,60,10,"[64, 32]",16,1.0,42,none,train_p995,18.663671493530273,val,0.0,0.0,0.0,0.7269529960453317,0.018713989367115002,0.9839247943595769,0.49750451563836867,20933,105,237,0,63526,21275,43910,237,1894,10.326876640319824,2.4583775997161865,16.49639892578125,10.377968788146973,11.069475173950195
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,20260426_231018,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_64_32/20260426_231018,60,10,"[64, 32]",16,1.0,42,none,train_p995,18.663671493530273,test,0.3130434782608696,0.057022175290390706,0.0964716391246092,0.5367709771748842,0.06891793010600056,0.9539284900933728,0.5256907334943957,41779,237,1786,108,63526,21275,43910,237,1894,10.326876640319824,2.4583775997161865,16.49639892578125,10.377968788146973,11.069475173950195
20260426_230603_wrapup_layers_windows_noscale_beta1,layers,layers_64_32,20260426_231018,models/vae_grid_runs/20260426_230603_wrapup_layers_windows_noscale_beta1/runs/layers/layers_64_32/20260426_231018,60,10,"[64, 32]",16,1.0,42,none,val_f1,10.522387413523305,val,0.0297248721139223,0.9071729957805907,0.05756358768406961,0.7269529960453317,0.018713989367115002,0.6690951821386604,0.7867930764624029,14020,7018,22,215,63526,21275,43910,237,1894,10.326876640319824,2.4583775997161865,16.49639892578125,10.377968788146973,11.069475173950195
