study_id,experiment_group,base_experiment_id,experiment_id,run_id,run_dir,architecture,window_size,stride,hidden,latent_dim,beta,seed,scaling,threshold_method,threshold_value,split,precision,recall,f1,roc_auc,pr_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_train_windows,n_val_windows,n_test_windows,n_val_positive,n_test_positive,train_score_mean,train_score_std,train_score_p98,test_score_mean_normal,test_score_mean_anomaly
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s7,20260430_081857,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s7/20260430_081857,conv1d,60,10,"[128, 64]",16,1.0,7,none,train_p99,16.727843761444092,val,0.0,0.0,0.0,0.9947531150183132,0.4881925862990476,0.9850998824911869,0.4980986785816142,20958,80,237,0,63526,21275,43910,237,1894,6.642309665679932,2.753396987915039,15.934840202331543,6.424014091491699,15.539339065551758
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s7,20260430_081857,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s7/20260430_081857,conv1d,60,10,"[128, 64]",16,1.0,7,none,train_p99,16.727843761444092,test,0.6547085201793722,0.07708553326293559,0.13793103448275865,0.9967707906918951,0.8387703890218269,0.9584377135048964,0.53762644903817,41939,77,1748,146,63526,21275,43910,237,1894,6.642309665679932,2.753396987915039,15.934840202331543,6.424014091491699,15.539339065551758
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s7,20260430_081857,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s7/20260430_081857,conv1d,60,10,"[128, 64]",16,1.0,7,none,train_p995,17.123453855514526,val,0.0,0.0,0.0,0.9947531150183132,0.4881925862990476,0.9856169212690952,0.4983601102766423,20969,69,237,0,63526,21275,43910,237,1894,6.642309665679932,2.753396987915039,15.934840202331543,6.424014091491699,15.539339065551758
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s7,20260430_081857,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s7/20260430_081857,conv1d,60,10,"[128, 64]",16,1.0,7,none,train_p995,17.123453855514526,test,0.6567164179104478,0.06969376979936642,0.12601431980906921,0.9967707906918951,0.8387703890218269,0.9583010703712138,0.5340257691342605,41947,69,1762,132,63526,21275,43910,237,1894,6.642309665679932,2.753396987915039,15.934840202331543,6.424014091491699,15.539339065551758
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s7,20260430_081857,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s7/20260430_081857,conv1d,60,10,"[128, 64]",16,1.0,7,none,val_f1,15.275978230711203,val,0.6666666666666666,0.8945147679324894,0.7639639639639638,0.9947531150183132,0.4881925862990476,0.9938425381903643,0.9447381330868836,20932,106,25,212,63526,21275,43910,237,1894,6.642309665679932,2.753396987915039,15.934840202331543,6.424014091491699,15.539339065551758
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_conv1d,arch_conv1d_s7,20260430_081857,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_conv1d_s7/20260430_081857,conv1d,60,10,"[128, 64]",16,1.0,7,none,val_f1,15.275978230711203,test,0.8806921675774135,0.510559662090813,0.6463903743315508,0.9967707906918951,0.8387703890218269,0.9759052607606468,0.7537209011139518,41885,131,927,967,63526,21275,43910,237,1894,6.642309665679932,2.753396987915039,15.934840202331543,6.424014091491699,15.539339065551758
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,arch_lstm,20260430_082716,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_lstm/20260430_082716,lstm_autoencoder,60,10,"[128, 64]",16,1.0,42,none,train_p98,58.62646293640137,val,0.5732323232323232,0.9578059071729957,0.7172195892575038,0.997406340866818,0.6898076107492991,0.9915863689776733,0.9748864120901579,20869,169,10,227,63526,21275,43910,237,1894,13.626240730285645,12.486207962036133,58.62646293640137,26.60433006286621,65.27336883544922
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,arch_lstm,20260430_082716,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_lstm/20260430_082716,lstm_autoencoder,60,10,"[128, 64]",16,1.0,42,none,train_p98,58.62646293640137,test,0.902834008097166,0.941921858500528,0.9219638242894056,0.9951256186610863,0.8613219399910348,0.9931222956046458,0.9686760853812617,41824,192,110,1784,63526,21275,43910,237,1894,13.626240730285645,12.486207962036133,58.62646293640137,26.60433006286621,65.27336883544922
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,arch_lstm,20260430_082716,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_lstm/20260430_082716,lstm_autoencoder,60,10,"[128, 64]",16,1.0,42,none,train_p99,64.13520812988281,val,0.8037974683544303,0.5358649789029536,0.6430379746835443,0.997406340866818,0.6898076107492991,0.9933725029377203,0.7671957274018524,21007,31,110,127,63526,21275,43910,237,1894,13.626240730285645,12.486207962036133,58.62646293640137,26.60433006286621,65.27336883544922
20260430_074356_wrapup_layers_windows_noscale_beta1,architectures,arch_lstm,arch_lstm,20260430_082716,models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/architectures/arch_lstm/20260430_082716,lstm_autoencoder,60,10,"[128, 64]",16,1.0,42,none,train_p99,64.13520812988281,test,0.8394736842105263,0.3368532206969377,0.48078372268274294,0.9951256186610863,0.8613219399910348,0.968617626964245,0.6669747824733736,41894,122,1256,638,63526,21275,43910,237,1894,13.626240730285645,12.486207962036133,58.62646293640137,26.60433006286621,65.27336883544922
