run_id,split,accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc
20260424_023701,train,0.900639108396562,0.0,0.0,0.0,0,57214,6312,0,
20260424_023701,val,0.8188954171562868,0.05794621026894865,1.0,0.1095447192049919,237,17185,3853,0,0.8407631278422047
20260424_023701,test,0.8401958551582783,0.21131522596641497,0.9899683210137276,0.3482864307606576,1875,35018,6998,19,0.8758901295508886
