run_id,threshold_rule,threshold,split,accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc
20260424_140621,val_f1 (val_f1=0.7820),13617.649776323022,val,0.9943125734430083,0.6823899371069182,0.9156118143459916,0.7819819819819821,217,20937,101,20,0.9968124787655691
20260424_140621,val_f1 (val_f1=0.7820),13617.649776323022,test,0.9820997494875883,0.7931216931216931,0.7914466737064414,0.7922832980972516,1499,41625,391,395,0.9884227489944998
20260424_140621,train_p95,11791.529296875,val,0.9192009400705052,0.12116564417177914,1.0,0.21614227086183307,237,19319,1719,0,0.9968124787655691
20260424_140621,train_p95,11791.529296875,test,0.8417217034843999,0.2132486388384755,0.9926082365364308,0.3510737628384687,1880,35080,6936,14,0.9884227489944998
20260424_140621,train_p97,12997.69921875,val,0.9688366627497063,0.2606741573033708,0.9789029535864979,0.4117125110913931,232,20380,658,5,0.9968124787655691
20260424_140621,train_p97,12997.69921875,test,0.9720564791619221,0.6096678724103913,0.9788806758183738,0.7513677811550152,1854,40829,1187,40,0.9884227489944998
20260424_140621,train_p98,13345.08203125,val,0.9871210340775558,0.4623217922606925,0.9578059071729957,0.6236263736263736,227,20774,264,10,0.9968124787655691
20260424_140621,train_p98,13345.08203125,test,0.9819403324982919,0.7163064833005894,0.9625131995776135,0.8213561612975895,1823,41294,722,71,0.9884227489944998
20260424_140621,train_p99,13911.54296875,val,0.9940305522914219,0.8197674418604651,0.5949367088607594,0.6894865525672371,141,21007,31,96,0.9968124787655691
20260424_140621,train_p99,13911.54296875,test,0.9699157367342292,0.7592760180995475,0.4429778247096093,0.5595198399466489,839,41750,266,1055,0.9884227489944998
20260424_140621,train_mean3std,13822.0390625,val,0.9949236192714453,0.8208955223880597,0.6962025316455697,0.7534246575342466,165,21002,36,72,0.9968124787655691
20260424_140621,train_mean3std,13822.0390625,test,0.9732634935094512,0.7760736196319018,0.5343189017951425,0.6328955597248279,1012,41724,292,882,0.9884227489944998
