run_id,threshold_rule,threshold,split,accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc
20260424_174443,val_f1 (val_f1=0.8432),28.067204452591326,val,0.9959106933019977,0.7358490566037735,0.9873417721518988,0.8432432432432432,234,20954,84,3,0.997195751469212
20260424_174443,val_f1 (val_f1=0.8432),28.067204452591326,test,0.9818036893646094,0.758376592732421,0.8484688489968321,0.8008970844754547,1607,41504,512,287,0.9901628212634439
20260424_174443,train_p95,20.286840438842773,val,0.9167567567567567,0.11802788844621515,1.0,0.2111358574610245,237,19267,1771,0,0.997195751469212
20260424_174443,train_p95,20.286840438842773,test,0.8312229560464587,0.20335519948381547,0.9984160506863781,0.33788975252389886,1891,34608,7408,3,0.9901628212634439
20260424_174443,train_p97,28.946348190307617,val,0.9967097532314924,0.7869415807560137,0.9662447257383966,0.8674242424242425,229,20976,62,8,0.997195751469212
20260424_174443,train_p97,28.946348190307617,test,0.9748348895468003,0.7439703153988868,0.6351636747624076,0.6852748504699516,1203,41602,414,691,0.9901628212634439
20260424_174443,train_p98,33.04334259033203,val,0.986556991774383,0.0,0.0,0.0,0,20989,49,237,0.997195751469212
20260424_174443,train_p98,33.04334259033203,test,0.9565702573445685,0.4807121661721068,0.08553326293558607,0.1452263558942178,162,41841,175,1732,0.9901628212634439
20260424_174443,train_p99,35.313133239746094,val,0.9871210340775558,0.0,0.0,0.0,0,21001,37,237,0.997195751469212
20260424_174443,train_p99,35.313133239746094,test,0.9582099749487588,0.6121673003802282,0.0850052798310454,0.1492814093648586,161,41914,102,1733,0.9901628212634439
20260424_174443,train_mean3std,29.37554931640625,val,0.9964747356051704,0.7872340425531915,0.9367088607594937,0.8554913294797688,222,20978,60,15,0.997195751469212
20260424_174443,train_mean3std,29.37554931640625,test,0.9698018674561604,0.7122571001494769,0.503167898627244,0.5897277227722773,953,41631,385,941,0.9901628212634439
