model,source,percentile,threshold,precision,recall,f1,fp,tp
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.6265306122449,132.78420420619423,0.09316037735849056,1.0,0.1704422869471413,9228,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.72755102040817,133.09936553020867,0.09516161413370809,1.0,0.17378551787351054,9014,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.82857142857144,133.42929809570313,0.0977319587628866,1.0,0.17806160781367392,8752,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,92.9295918367347,133.68107188882635,0.1008617938078519,1.0,0.183241519280951,8451,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.03061224489797,133.97252788932957,0.10431338028169014,1.0,0.18891988840175367,8140,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.13163265306123,134.33411867538766,0.10941828254847645,1.0,0.1972534332084894,7716,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.2326530612245,134.6360733268894,0.11335645103431782,1.0,0.20363011491783908,7415,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.33367346938776,135.03246672213805,0.11813084112149533,1.0,0.211300568371782,7077,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.43469387755103,135.40593027916734,0.121960632960247,1.0,0.217406260749914,6825,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.53571428571429,135.80806302751813,0.12556291390728477,1.0,0.22311132031066136,6602,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.63673469387756,136.1268479950574,0.12854237288135592,1.0,0.22780247506908563,6427,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.73775510204082,136.56934334517499,0.13286615276804484,1.0,0.23456637387108745,6187,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.83877551020409,137.02969650953645,0.1379511059371362,1.0,0.24245524296675192,5924,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,93.93979591836735,137.5015720937301,0.143397368022992,1.0,0.25082682894562774,5663,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.04081632653062,138.08798950195316,0.15047619047619049,1.0,0.26158940397350994,5352,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.14183673469388,138.50106139825314,0.15528255528255527,1.0,0.26882177796682266,5157,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.24285714285715,138.98715472412115,0.1619682214249103,1.0,0.2787825319805911,4905,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.34387755102041,139.52218049528162,0.1685033771773907,1.0,0.28840888348037724,4678,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.44489795918368,140.11702496960703,0.17729567982046007,1.0,0.3011914217633042,4399,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.54591836734694,140.6355769472706,0.1843282131051915,1.0,0.31127893613528157,4195,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.64693877551021,141.06768410569794,0.19132189707366296,1.0,0.32119261392512277,4007,948
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.74795918367347,141.68747184535434,0.20072064434082237,0.9989451476793249,0.33427462054359336,3771,947
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.84897959183674,142.12630748266102,0.2070397901180586,0.9989451476793249,0.34299166968489675,3627,947
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,94.95,142.6438572692871,0.21464188576609247,0.9989451476793249,0.3533582089552239,3465,947
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.05102040816327,143.33599788120816,0.22623029144768275,0.9989451476793249,0.3689131281651734,3239,947
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.15204081632653,143.93822760009766,0.23734335839598997,0.9989451476793249,0.38355609558525716,3043,947
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.2530612244898,144.58359084522482,0.24810060256746136,0.9989451476793249,0.3974816369359916,2870,947
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.35408163265306,145.28614328376617,0.26189159292035397,0.9989451476793249,0.41498685363716037,2669,947
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.45510204081633,145.8102974305445,0.2709049255441008,0.9978902953586498,0.4261261261261261,2546,946
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.5561224489796,146.4930170456244,0.2833183587900569,0.9978902953586498,0.44133426638675066,2393,946
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.65714285714286,147.13831753976007,0.29333333333333333,0.9978902953586498,0.4533908459142104,2279,946
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.75816326530612,147.87644061154754,0.30674448767833984,0.9978902953586498,0.4692460317460318,2138,946
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.85918367346939,148.44821653529576,0.3180901143241426,0.9978902953586498,0.482406935237124,2028,946
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,95.96020408163265,149.30830591567675,0.3343937787203959,0.9978902953586498,0.5009266613714588,1883,946
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.06122448979592,150.1140570691167,0.3510204081632653,0.9978902953586498,0.5193521822673621,1749,946
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.16224489795918,150.97334943872565,0.367561260210035,0.9968354430379747,0.537084398976982,1626,945
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.26326530612245,152.13865610052613,0.3906572964034725,0.9968354430379747,0.5613305613305614,1474,945
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.36428571428571,153.15906072126117,0.4120471409864688,0.9957805907172996,0.5828959555418339,1347,944
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.46530612244898,154.4875836106904,0.43988816402609504,0.9957805907172996,0.6102133160956691,1202,944
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.56632653061224,155.9156005143146,0.47941026944585663,0.9947257383966245,0.6469982847341339,1024,943
VAE (dense),models/vae_grid_runs/20260430_074356_wrapup_layers_windows_noscale_beta1/runs/windows/win120_s42/20260430_081342,96.66734693877551,157.23829201087176,0.5102813852813853,0.9947257383966245,0.6745350500715308,905,943
