run_id,model,model_kind,window_dir,threshold_method,split,accuracy,balanced_accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc,pr_auc,threshold,positive_rate_pred,positive_rate_true
20260430_063918,OC-SVM,oc_svm,dataset/processed_windows/20260430_062154,train_p98,val,0.9340070505287896,0.4722644738092975,0.0,0.0,0.0,0,19871,1167,237,0.8755543013786987,0.04252790651609984,0.21466811001300812,0.054853113983548765,0.011139835487661575
20260430_063918,OC-SVM,oc_svm,dataset/processed_windows/20260430_062154,train_p98,test,0.8936233204281485,0.4896412846395922,0.03043625295908015,0.04751847940865892,0.03710575139146568,90,39149,2867,1804,0.912978454529516,0.19724496123514362,0.21466811001300812,0.06734229104987474,0.04313368253245274
20260430_063918,OC-SVM,oc_svm,dataset/processed_windows/20260430_062154,train_p99,val,0.9810105757931845,0.49603099153911967,0.0,0.0,0.0,0,20871,167,237,0.8755543013786987,0.04252790651609984,0.3085995987057686,0.007849588719153937,0.011139835487661575
20260430_063918,OC-SVM,oc_svm,dataset/processed_windows/20260430_062154,train_p99,test,0.9460715099066271,0.5167954195153494,0.13650306748466257,0.046990496304118265,0.06991358994501178,89,41453,563,1805,0.912978454529516,0.19724496123514362,0.3085995987057686,0.014848553860168527,0.04313368253245274
20260430_063918,OC-SVM,oc_svm,dataset/processed_windows/20260430_062154,train_p995,val,0.9811515863689777,0.49610229109230913,0.0,0.0,0.0,0,20874,164,237,0.8755543013786987,0.04252790651609984,0.32455458492040634,0.007708578143360752,0.011139835487661575
20260430_063918,OC-SVM,oc_svm,dataset/processed_windows/20260430_062154,train_p995,test,0.9476429059439763,0.517616535280772,0.15265866209262435,0.046990496304118265,0.07186112232539361,89,41522,494,1805,0.912978454529516,0.19724496123514362,0.32455458492040634,0.013277157822819404,0.04313368253245274
20260430_063918,OC-SVM,oc_svm,dataset/processed_windows/20260430_062154,val_f1,val,0.8730904817861339,0.93583040212948,0.08069458631256383,1.0,0.1493383742911153,237,18338,2700,0,0.8755543013786987,0.04252790651609984,0.04369442361308726,0.13804935370152763,0.011139835487661575
20260430_063918,OC-SVM,oc_svm,dataset/processed_windows/20260430_062154,val_f1,test,0.9086540651332271,0.9474784483971912,0.31958411453894664,0.9899683210137276,0.4831851565519907,1875,38024,3992,19,0.912978454529516,0.19724496123514362,0.04369442361308726,0.13361421088590297,0.04313368253245274
