epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,140581035200.65292,140581035200.65292,457463417970170.0,15.632599876040505,15.632599876040505,625.41210210891
2,3.125685010910034,3.125685010910034,988.179525390625,11.569590738841466,11.569590738841466,780.5990440731957
3,2.6980230045318603,2.6980230045318603,1088.5645883789061,14.387510594867525,14.387510594867525,732.5789140973773
4,2.543291690826416,2.543291690826416,1083.6396298828124,14.1373123668489,14.1373123668489,757.1275402250744
5,2.5432543334960935,2.5432543334960935,1066.2959458007813,12.131849379766555,12.131849379766555,770.1805579775855
6,2.466042621612549,2.466042621612549,1067.712380859375,12.308685348147439,12.308685348147439,776.703601655506
7,2.4973928813934325,2.4973928813934325,1065.2124614257812,13.990131378173828,13.990131378173828,750.2527698335193
8,2.4891359672546387,2.4891359672546387,1064.9175126953126,14.055254550207229,14.055254550207229,761.1793096633185
9,2.422259657859802,2.422259657859802,1071.724736328125,11.91630404336112,11.91630404336112,799.173595610119
10,2.3786397199630738,2.3786397199630738,1097.96805078125,11.644915921347481,11.644915921347481,816.948720296224
