model,run_id,threshold_method,split,accuracy,balanced_accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc,pr_auc,threshold,positive_rate_pred,positive_rate_true,threshold_scope,is_primary,report_note
VAE,20260426_232627,train_p98,test,0.9900933728080163,0.929531747748733,0.9028161236885699,0.8632523759239704,0.8825910931174089,1635,41840,176,259,0.9964736368344819,0.8589360199700664,25.946849822998047,0.04124345251651104,0.04313368253245274,train-only,True,Primary fair unsupervised comparison.
VAE,20260426_232627,val_f1,test,0.9879526303803234,0.9029519025688209,0.9007633587786259,0.8099260823653643,0.8529329997219905,1534,41847,169,360,0.9964736368344819,0.8589360199700664,26.227309772548963,0.03878387611022546,0.04313368253245274,validation-label diagnostic,False,Diagnostic only; threshold selected with validation labels.
Isolation Forest,20260426_200420,train_p98,test,0.9560920063766796,0.9740312635966708,0.4955239599789363,0.9936642027455121,0.6612789880534082,1882,40100,1916,12,0.9963776935984964,0.835817623831763,0.14254700931485753,0.08649510362104304,0.04313368253245274,train-only,True,Primary fair unsupervised comparison.
Isolation Forest,20260426_200420,val_f1,test,0.98975176497381,0.973217134660221,0.8321067157313707,0.9551214361140443,0.8893805309734513,1809,41651,365,85,0.9963776935984964,0.835817623831763,0.1617873985213778,0.04951036210430426,0.04313368253245274,validation-label diagnostic,False,Diagnostic only; threshold selected with validation labels.
