epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,136288774008033.5,136288774008033.5,5.392006864910615e+17,10.36452909878322,10.36452909878322,996.2238275437128
2,3.367247577667236,3.367247577667236,1176.272015625,15.480005173456101,15.480005173456101,743.0962146577381
3,2.6576561098098757,2.6576561098098757,1061.26501953125,12.169904754275368,12.169904754275368,830.511955624535
4,2.6724222869873047,2.6724222869873047,1103.2183818359374,10.568229959124611,10.568229959124611,874.3062119256882
5,2.6996553840637207,2.6996553840637207,1107.8520888671876,11.771159944080171,11.771159944080171,856.0763535272507
6,2.5878856420516967,2.5878856420516967,1094.9499423828124,14.740614777519589,14.740614777519589,812.9712538946243
7,2.687418667793274,2.687418667793274,1093.221263671875,16.008961246127175,16.008961246127175,790.1916867210751
8,2.624449861526489,2.624449861526489,1092.7279340820312,14.996123699914842,14.996123699914842,806.9857700892857
9,2.596773914337158,2.596773914337158,1103.5431137695311,11.610005015418643,11.610005015418643,869.6874128069196
10,2.5592341861724854,2.5592341861724854,1120.1493212890625,10.454577150798979,10.454577150798979,903.3636096772693
