epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,1884675.557328554,1884675.557328554,1255435225.784683,8.59309558641343,8.59309558641343,9627.291317894345
2,2.875728832244873,2.875728832244873,12241.8815625,14.761675085340228,14.761675085340228,10891.748930431548
3,2.3982692432403563,2.3982692432403563,12455.8205,12.325441928136916,12.325441928136916,10995.763020833334
4,2.3429729681015017,2.3429729681015017,11928.7286640625,14.758704775855655,14.758704775855655,10193.218563988095
5,2.325746852874756,2.325746852874756,11751.2638515625,15.89443726766677,15.89443726766677,10060.93836030506
6,2.307110740661621,2.307110740661621,11692.1995078125,15.198874110267276,15.198874110267276,10053.271577380952
7,2.279854916572571,2.279854916572571,11635.7447578125,12.690613769349598,12.690613769349598,10446.246326264882
8,2.2932916593551638,2.2932916593551638,11626.008640625,11.637000719706217,11.637000719706217,10463.31898716518
9,2.283763310432434,2.283763310432434,11738.743546875,12.105287688119072,12.105287688119072,10715.100516183036
10,2.188286805152893,2.188286805152893,11973.6908125,14.137605780646915,14.137605780646915,10380.294968377977
