epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,3065517400.732242,3065517400.732242,2070208987707.944,,,
2,28635.280271484375,28635.280271484375,263637353.152,,,
3,14230.17762109375,14230.17762109375,225681209.728,,,
4,8363.136638671875,8363.136638671875,207668837.76,,,
5,5676.986283203125,5676.986283203125,196956644.224,,,
6,4097.402842773437,4097.402842773437,189528759.168,,,
7,3229.3496494140627,3229.3496494140627,183759108.224,,,
8,2430.9635771484377,2430.9635771484377,178657224.576,,,
9,2043.0174951171875,2043.0174951171875,175285699.456,,,
10,1746.9578562011718,1746.9578562011718,171653600.896,,,
11,1539.635861328125,1539.635861328125,169915569.472,,,
12,1337.608966796875,1337.608966796875,166259546.944,,,
13,1114.0313764648438,1114.0313764648438,164629888.448,,,
14,983.7717153320312,983.7717153320312,163339614.976,,,
15,917.2422893066406,917.2422893066406,162203546.688,,,
16,773.0316508789062,773.0316508789062,159500837.632,,,
17,718.5167578125,718.5167578125,159832436.16,,,
18,656.6717733154297,656.6717733154297,157220486.912,,,
19,583.2936838378906,583.2936838378906,156075813.056,,,
20,549.6565725097656,549.6565725097656,155183825.728,,,
