epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,23898517921151.793,23898517921151.793,2687681541588224.5,10.99081818262736,10.99081818262736,5115.057652064732
2,5.736102577209473,5.736102577209473,5285.745705078125,14.31358509971982,14.31358509971982,3220.717535109747
3,4.304126331329345,4.304126331329345,3967.99983203125,12.822402545383998,12.822402545383998,3128.947823660714
4,3.920743951797485,3.920743951797485,3560.621125,12.037401562645321,12.037401562645321,3065.3628510974704
5,3.6987632827758787,3.6987632827758787,3286.071431640625,11.275772140139626,11.275772140139626,2779.5500139508927
6,3.1349219455718993,3.1349219455718993,3056.559166015625,10.483706769489107,10.483706769489107,2695.785603841146
7,2.727860089302063,2.727860089302063,2724.043873046875,11.252516088031587,11.252516088031587,2370.241013299851
8,2.340611763000488,2.340611763000488,2488.078654296875,13.225249086107526,13.225249086107526,2144.113810221354
9,2.252967511177063,2.252967511177063,2417.71717578125,10.83333200500125,10.83333200500125,2358.3467523484005
10,1.9698910045623779,1.9698910045623779,2505.3619609375,9.810374135062808,9.810374135062808,2259.2486775716147
